latin,category,ideallight,toleratedlight,watering,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group,light_level_clean,watering_group,toxicity_any
Ophiopogon japonicus,Grass,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,28,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Hedychium coronarium,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło,Często,0
Hedera helix variegata,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,30,5,toksyczna,toksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Wisząca,Rozproszone światło,Umiarkowanie,1
Pellaea falcata,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,25,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Hoya carnosa Exotica,Hanging,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło,Umiarkowanie,0
Nerium oleander,Flower,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,30,5,silnie toksyczna (może być śmiertelna – glikozydy nasercowe),"silnie toksyczna (zaburzenia rytmu serca, zatrucia, śmiertelna dawka)",Odporna na chłód,Normalna tolerancja ciepła,1,0,Roślina kwitnąca,Bezpośrednie światło,Często,1
Pachypodium geayi,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,8,"toksyczna (podrażnienia, możliwe zatrucia)","toksyczna (drażniąca, sok mleczny)",Toleruje chłód,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Licuala spinosa,Palm,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło,Umiarkowanie,0
Philodendron,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,18,toksyczna (szczawiany wapnia),toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Neoregelia Flandria,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
